,LocationDesc,Data_Value_Alt,Cluster
1025,Maryland,101.0,1
1026,Maryland,69.0,1
1027,Massachusetts,14.0,1
1028,Massachusetts,37.0,1
1029,Massachusetts,154.0,0
1030,Massachusetts,435.0,4
1031,Massachusetts,110.0,1
1032,Massachusetts,40.0,1
1033,Massachusetts,15.0,1
1034,Massachusetts,32.0,1
1035,Massachusetts,14.0,1
1036,Massachusetts,56.0,1
1037,Massachusetts,120.0,0
1038,Massachusetts,39.0,1
1039,Massachusetts,29.0,1
1040,Massachusetts,92.0,1
1041,Massachusetts,33.0,1
1042,Massachusetts,95.0,1
1043,Massachusetts,106.0,1
1044,Massachusetts,244.0,0
1045,Massachusetts,47.0,1
1046,Massachusetts,11.0,1
1047,Massachusetts,14.0,1
1048,Massachusetts,17.0,1
1049,Massachusetts,121.0,0
1050,Massachusetts,42.0,1
1051,Massachusetts,133.0,0
1052,Massachusetts,65.0,1
1053,Massachusetts,25.0,1
1054,Massachusetts,30.0,1
1055,Massachusetts,124.0,0
1056,Massachusetts,87.0,1
1057,Massachusetts,14.0,1
1058,Massachusetts,37.0,1
1059,Massachusetts,154.0,0
1060,Massachusetts,435.0,4
1061,Massachusetts,110.0,1
1062,Massachusetts,40.0,1
1063,Massachusetts,15.0,1
1064,Massachusetts,32.0,1
1065,Massachusetts,14.0,1
1066,Massachusetts,56.0,1
1067,Massachusetts,120.0,0
1068,Massachusetts,39.0,1
1069,Massachusetts,29.0,1
1070,Massachusetts,92.0,1
1071,Massachusetts,33.0,1
1072,Massachusetts,95.0,1
1073,Massachusetts,106.0,1
